command	numseqs	k	ss	time(s)
ctree	25	6	500	8.568217992782593
ctree	25	6	750	8.631028890609741
ctree	25	6	1000	8.897704601287842
ctree	25	6	2500	9.551475048065186
ctree	25	6	5000	8.860440254211426
ctree	25	6	7500	8.723131656646729
ctree	25	6	10000	8.653081893920898
ctree	25	8	500	9.575020790100098
ctree	25	8	750	9.355241298675537
ctree	25	8	1000	9.501065015792847
ctree	25	8	2500	10.204147100448608
ctree	25	8	5000	9.567009687423706
ctree	25	8	7500	9.57771110534668
ctree	25	8	10000	9.516381978988647
ctree	25	10	500	12.931334495544434
ctree	25	10	750	13.515264987945557
ctree	25	10	1000	12.765580177307129
ctree	25	10	2500	12.896108388900757
ctree	25	10	5000	12.77357816696167
ctree	25	10	7500	12.549236297607422
ctree	25	10	10000	13.553161144256592
ctree	25	12	500	15.293583631515503
ctree	25	12	750	15.419174194335938
ctree	25	12	1000	15.27739953994751
ctree	25	12	2500	15.86404299736023
ctree	25	12	5000	15.65914249420166
ctree	25	12	7500	15.388118505477905
ctree	25	12	10000	15.300503492355347
ctree	25	14	500	17.52567195892334
ctree	25	14	750	17.07767128944397
ctree	25	14	1000	16.868401765823364
ctree	25	14	2500	17.728163480758667
ctree	25	14	5000	16.646433115005493
ctree	25	14	7500	16.853193044662476
ctree	25	14	10000	16.788559198379517
ctree	25	16	500	17.848921060562134
ctree	25	16	750	17.228492259979248
ctree	25	16	1000	16.897418975830078
ctree	25	16	2500	18.127572298049927
ctree	25	16	5000	17.325963735580444
ctree	25	16	7500	16.969436645507812
ctree	25	16	10000	17.018359184265137
ctree	25	18	500	17.637790203094482
ctree	25	18	750	17.09929585456848
ctree	25	18	1000	17.205732583999634
ctree	25	18	2500	17.81527853012085
ctree	25	18	5000	16.9873263835907
ctree	25	18	7500	16.961967945098877
ctree	25	18	10000	17.175880193710327
prep	50			11.636137247085571
ctree	50	6	500	12.007156372070312
ctree	50	6	750	12.069783449172974
ctree	50	6	1000	12.093077182769775
ctree	50	6	2500	11.90691351890564
ctree	50	6	5000	12.20664930343628
ctree	50	6	7500	12.034801006317139
ctree	50	6	10000	12.160062789916992
ctree	50	8	500	13.683657884597778
ctree	50	8	750	14.402604341506958
ctree	50	8	1000	13.817023754119873
ctree	50	8	2500	13.667150020599365
ctree	50	8	5000	13.638947248458862
ctree	50	8	7500	13.683701276779175
ctree	50	8	10000	14.184634923934937
ctree	50	10	500	19.270493984222412
ctree	50	10	750	19.251110792160034
ctree	50	10	1000	20.24401021003723
ctree	50	10	2500	19.17101788520813
ctree	50	10	5000	19.23306918144226
ctree	50	10	7500	19.920442819595337
ctree	50	10	10000	19.100417852401733
ctree	50	12	500	23.61320185661316
ctree	50	12	750	25.051783561706543
ctree	50	12	1000	23.72682213783264
ctree	50	12	2500	24.291542053222656
ctree	50	12	5000	23.89830255508423
ctree	50	12	7500	23.634681224822998
ctree	50	12	10000	24.93640899658203
ctree	50	14	500	25.724619150161743
ctree	50	14	750	26.50716280937195
ctree	50	14	1000	25.3259756565094
ctree	50	14	2500	25.73028874397278
ctree	50	14	5000	25.496981859207153
ctree	50	14	7500	25.344762563705444
ctree	50	14	10000	26.053101301193237
ctree	50	16	500	26.866049766540527
ctree	50	16	750	27.34398627281189
ctree	50	16	1000	26.270751476287842
ctree	50	16	2500	27.414297580718994
ctree	50	16	5000	26.271383047103882
ctree	50	16	7500	25.958036422729492
ctree	50	16	10000	27.51912236213684
ctree	50	18	500	26.701139450073242
ctree	50	18	750	27.721486806869507
ctree	50	18	1000	26.58165693283081
ctree	50	18	2500	28.15672278404236
ctree	50	18	5000	26.340725421905518
ctree	50	18	7500	27.446558713912964
ctree	50	18	10000	26.7573139667511
prep	75			17.102697372436523
ctree	75	6	500	16.417479991912842
ctree	75	6	750	15.857745170593262
ctree	75	6	1000	15.717597246170044
ctree	75	6	2500	15.775733470916748
ctree	75	6	5000	16.357158660888672
ctree	75	6	7500	15.686834335327148
ctree	75	6	10000	15.577863931655884
ctree	75	8	500	18.703518390655518
ctree	75	8	750	18.3372483253479
ctree	75	8	1000	17.97975254058838
ctree	75	8	2500	18.66724157333374
ctree	75	8	5000	18.83704686164856
ctree	75	8	7500	18.067038536071777
ctree	75	8	10000	18.72203516960144
ctree	75	10	500	27.31415843963623
ctree	75	10	750	26.459644079208374
ctree	75	10	1000	27.95958375930786
ctree	75	10	2500	26.708856105804443
ctree	75	10	5000	28.04412341117859
ctree	75	10	7500	26.839008331298828
ctree	75	10	10000	28.694491863250732
ctree	75	12	500	33.28844499588013
ctree	75	12	750	34.23989200592041
ctree	75	12	1000	33.36679768562317
ctree	75	12	2500	34.5270562171936
ctree	75	12	5000	33.63500690460205
ctree	75	12	7500	34.58313298225403
ctree	75	12	10000	34.369542598724365
ctree	75	14	500	36.04181957244873
ctree	75	14	750	36.72343039512634
ctree	75	14	1000	35.92675232887268
ctree	75	14	2500	36.48056483268738
ctree	75	14	5000	36.18976593017578
ctree	75	14	7500	35.29362773895264
ctree	75	14	10000	36.82553720474243
ctree	75	16	500	36.578065633773804
ctree	75	16	750	37.332602739334106
ctree	75	16	1000	38.04395842552185
ctree	75	16	2500	36.43854093551636
ctree	75	16	5000	37.015804052352905
ctree	75	16	7500	36.1122522354126
ctree	75	16	10000	36.926188230514526
ctree	75	18	500	37.50299882888794
ctree	75	18	750	36.14425730705261
ctree	75	18	1000	37.07720732688904
ctree	75	18	2500	36.93929982185364
ctree	75	18	5000	36.90256977081299
ctree	75	18	7500	37.7908661365509
ctree	75	18	10000	36.90948224067688
prep	100			18.081944227218628
ctree	100	6	500	20.9135262966156
ctree	100	6	750	20.736157178878784
ctree	100	6	1000	21.534521341323853
ctree	100	6	2500	20.668181896209717
ctree	100	6	5000	20.722917318344116
ctree	100	6	7500	20.97416877746582
ctree	100	6	10000	20.775165796279907
ctree	100	8	500	24.408666372299194
ctree	100	8	750	24.058440446853638
ctree	100	8	1000	24.190625429153442
ctree	100	8	2500	24.895357847213745
ctree	100	8	5000	23.837392568588257
ctree	100	8	7500	24.446186065673828
ctree	100	8	10000	23.95335555076599
ctree	100	10	500	35.78489565849304
ctree	100	10	750	34.880494832992554
ctree	100	10	1000	36.49342632293701
ctree	100	10	2500	35.13801717758179
ctree	100	10	5000	36.00838875770569
ctree	100	10	7500	36.35271453857422
ctree	100	10	10000	35.03518199920654
ctree	100	12	500	45.840680837631226
ctree	100	12	750	46.0950562953949
ctree	100	12	1000	44.93309283256531
ctree	100	12	2500	45.627182483673096
ctree	100	12	5000	45.95324087142944
ctree	100	12	7500	45.72723054885864
ctree	100	12	10000	45.40730834007263
ctree	100	14	500	49.69872236251831
ctree	100	14	750	50.0066773891449
ctree	100	14	1000	50.37438464164734
ctree	100	14	2500	50.553045988082886
ctree	100	14	5000	50.238954067230225
ctree	100	14	7500	49.557581186294556
ctree	100	14	10000	49.207189321517944
ctree	100	16	500	51.506094217300415
ctree	100	16	750	51.74810028076172
ctree	100	16	1000	51.108651876449585
ctree	100	16	2500	51.46145725250244
ctree	100	16	5000	51.40232181549072
ctree	100	16	7500	50.712005615234375
ctree	100	16	10000	50.6175000667572
ctree	100	18	500	51.87379336357117
ctree	100	18	750	51.88377642631531
ctree	100	18	1000	52.46021246910095
ctree	100	18	2500	52.48728084564209
ctree	100	18	5000	51.61832928657532
ctree	100	18	7500	51.122143268585205
ctree	100	18	10000	50.99438834190369
prep	125			25.342925786972046
ctree	125	6	500	25.35776376724243
ctree	125	6	750	26.200130462646484
ctree	125	6	1000	25.23683261871338
ctree	125	6	2500	25.104331731796265
ctree	125	6	5000	25.10805058479309
ctree	125	6	7500	25.169368505477905
ctree	125	6	10000	25.91310977935791
ctree	125	8	500	29.354185581207275
ctree	125	8	750	30.40616726875305
ctree	125	8	1000	29.260390758514404
ctree	125	8	2500	29.66429591178894
ctree	125	8	5000	29.17474102973938
ctree	125	8	7500	30.607848167419434
ctree	125	8	10000	29.732764959335327
ctree	125	10	500	45.3817675113678
ctree	125	10	750	44.48432397842407
ctree	125	10	1000	44.07131266593933
ctree	125	10	2500	44.18957710266113
ctree	125	10	5000	44.95493030548096
ctree	125	10	7500	45.12291741371155
ctree	125	10	10000	44.06657028198242
ctree	125	12	500	56.49519896507263
ctree	125	12	750	56.74636149406433
ctree	125	12	1000	56.46935439109802
ctree	125	12	2500	56.48552322387695
ctree	125	12	5000	56.776721239089966
ctree	125	12	7500	57.12868642807007
